Complex Sales Cloud L1 Helpdesk Tickets (Lead-to-Order Scope),,,,,,
,,,,,,
Ticket ID,Functional Area,Priority,Status,Subject / Summary,Detailed User Description (Problem),L1 Step-by-Step Resolution (How-To)
TS-001,Lead Management,High,New,Lead conversion error: Missing pricebook entry on automatic line item mapping,"I am trying to convert a qualified lead. Our system is configured to auto-create an opportunity and map standard product lines from the lead custom fields. However, when I click 'Convert', I get an error: 'System.DmlException: Insert failed. First exception on row 0; Standard Price Book has no price defined for product B2B-Enterprise'. I can't proceed with creating the opportunity. How do I fix this?","This occurs because the product selected on the lead does not have an active price entry in the Standard Pricebook. 1. Go to the Products tab and find product 'B2B-Enterprise'. 2. Check the Pricebooks related list. 3. Click 'Add to Price Book', select the Standard Pricebook, enter a list price, and check 'Active'. 4. Return to the lead and re-run the conversion process."
TS-002,Opportunity Management,Medium,In Progress,How to unlock an Opportunity currently stuck in a multi-stage approval process,An opportunity I own is locked because it was submitted for a commercial discount approval. The regional manager who needs to approve it is out of office for two weeks. I need to modify the product quantities immediately because the client changed their mind. There is no 'Recall' button visible on my page layout. How can I unlock this record?,"As an L1 agent, verify the approval process rules. Users cannot recall if the process locks it strictly for admins/assignees. 1. Navigate to Setup > Approval Processes > Process Visualizer to confirm the current actor. 2. Since the user doesn't see 'Recall', use system administrator privileges (or delegated approver permissions) to click the 'Recall Approval Request' button at the top of the Opportunity record on behalf of the user, or reassign the pending step to the manager's designated backup."
TS-003,Lead-to-Order / Quotes,High,Assigned,Quote Syncing error: 'Fields do not match' when syncing Quote Line Items to Opportunity,"I am trying to sync an active Quote back to its parent Opportunity so the forecasting data updates. When I click 'Start Sync', it errors out saying: 'Quote syncing failed because the field Discount__c on Quote Line Item does not match the data type or configuration of the Opportunity Product field.' Both fields exist. Please tell me how to resolve this sync conflict.","Quote syncing requires exact matching data types, lengths, and API names for custom fields mapped between Quote Line Items and Opportunity Products. 1. Go to Setup > Object Manager > Quote Line Item and check 'Discount__c' properties (e.g., it is Percent, 18, 2). 2. Go to Opportunity Product and check its custom 'Discount__c' field. 3. If there is a precision mismatch (e.g., Number instead of Percent, or different decimal places), notify L2/Admin to align the metadata. If it's a simple value formatting issue, clear the field value on the quote, sync, and re-enter data."
TS-004,Orders & Fulfillment,High,New,Cannot activate Order: Product bundle status must be in 'Available' state,"I have successfully generated an Order from a synced Quote. Now I am trying to change the Status from 'Draft' to 'Activated' so the ERP integration picks it up. However, I get a validation error: 'Order Activation Failed: One or more line items contain products that are decommissioned or inactive.' I verified the primary products are active. What am I doing wrong?","The primary product may be active, but one of its child components/options in a product bundle has been marked inactive. 1. Open the Order and look at the Order Products related list. 2. Click into each individual Product record linked there. 3. Identify which sub-component has the 'Active' checkbox unchecked. 4. If it was deactivated by mistake, reactivate it in the Product object. If it's intentionally decommissioned, remove that line item from the Order/Quote and substitute it before activating."
TS-005,Lead-to-Order / Contracts,Medium,In Progress,How to generate a renewal Contract directly from a closed-won Opportunity,"I just closed a major deal and set the Opportunity stage to 'Closed Won'. I selected 'Contract Required' on the account record, but the Contract record didn't auto-generate under the Account's Contract related list. Can you explain the exact steps I need to take to manually spin up the initial contract and link it to this closed deal?","To generate a contract from an Opportunity standard lifecycle: 1. Ensure the Account record has an associated Contract or is enabled for generation. 2. On the Opportunity record, locate the standard 'Contract' lookup field. 3. If empty, go to the parent Account, click 'New' under the Contracts related list, fill in Contract Start Date, Contract Term (months), and save it. 4. Go back to the Opportunity, edit the 'Contract' lookup field to link this newly created Contract, and then check the 'Contracted' checkbox on the Opportunity to trigger automated asset/subscription generation if CPQ is used."
TS-006,Territory Management,Medium,Resolved,Lead assigned to wrong sales queue despite explicit postal code rules,"We have an automated rule that assigns leads with zip code 90210 to the West Coast Queue. I just created a lead with that zip code, but it bypassed assignment entirely and stayed assigned to me. How do I force the system to re-evaluate the assignment rules for this specific lead?","When creating or editing a lead manually, the assignment rules do not run automatically unless a hidden checkbox is ticked. 1. Open the affected Lead record and click 'Edit'. 2. Scroll to the very bottom of the edit layout screen. 3. Check the box labeled 'Assign using active assignment rules'. 4. Click 'Save'. The system will re-process the zip code and correctly assign the lead to the West Coast Queue."
TS-007,Lead-to-Order / Pricing,High,New,Negative price error when adding a custom volume discount to an Order Line Item,"I am working on Order ORD-009432. The customer negotiated a unique bulk discount, so I am trying to manually adjust the unit price on an Order Product line to a negative value or apply a negative line item to show a credit rebate. Salesforce keeps blocking me with an error: 'Unit Price cannot be negative.' How can I apply a financial adjustment to this line item?","Standard Salesforce Sales Cloud validation prevents the core 'Unit Price' field on Order Products from being negative. To properly document a volume credit or rebate: 1. Do not use a negative unit price on a standard line item. 2. Instead, use the 'Discount' percentage field on the Order Product to lower the value. 3. If a flat-rate deduction is mandatory, create a dedicated Product record named 'Bulk Rebate Credit' that allows a negative price (if allowed in Pricebook configurations) or handle it via an Order-level adjustment field."
TS-008,Product Catalog,Low,Resolved,Missing 'Add Products' button on an Opportunity record layout,"I need to build out a pipeline projection for a client, but when I navigate to the Products related list on my newly created Opportunity, the 'Add Products' and 'Choose Price Book' buttons are entirely missing. My colleague can see them on her opportunities. What steps do I need to follow to make them appear?","The 'Add Products' button disappears under two conditions: either a Pricebook hasn't been selected yet, or the Opportunity is locked/associated with a synced Quote. 1. Look for a 'Price Book' field in the Products related list header; if blank, click the dropdown arrow and select 'Choose Price Book'. 2. If a Pricebook is already selected but buttons are missing, check if there is an active synced Quote. When a Quote is syncing, product management must happen exclusively on the Quote Line Items, which then automatically push to the Opportunity."
TS-009,Lead Management,Medium,New,Lead Conversion duplicates: How to merge lead into an existing Contact instead of creating a new one,"I am converting a lead for 'Jane Miller' from 'TechCorp'. TechCorp already exists in our system, and Jane Miller is already listed as a contact there from an old deal. When I go through the conversion screen, how do I prevent Salesforce from creating a second, duplicate Jane Miller contact record?","During lead conversion, Salesforce provides options to avoid duplication. 1. Click 'Convert' on the Lead record. 2. In the 'Account' section, select 'Choose Existing' and search for TechCorp. 3. In the 'Contact' section, look closely at the radio buttons. Salesforce will auto-search for matching names; select 'Choose Existing Contact' and select the existing Jane Miller record. 4. Complete conversion. This appends the lead's historical data and activities directly onto the pre-existing contact record."
TS-0010,Forecasts & Quotas,Medium,Assigned,Collaborative Forecasting not showing newly closed-won pipeline revenue,"I closed a $50k deal yesterday and marked it 'Closed Won'. However, when my sales manager pulls up the Collaborative Forecasts hierarchy view for Q3, my closed-won attainment bar hasn't increased at all. It still shows my previous totals. Why is this revenue missing from the forecast dashboard?",This is typically caused by a delayed forecast roll-up cache or an incorrect Forecast Category assignment on the opportunity stage. 1. Open the Opportunity and check the 'Forecast Category' field (which is driven by Stage). Ensure it is set to 'Closed' (not omitted). 2. Verify that the Close Date is within the correct fiscal quarter limits (Q3). 3. Note that Collaborative Forecasts can take up to 15-30 minutes to asynchronously refresh across complex organizational hierarchies. Advise user to check back shortly.
