"Complex Service Cloud L1 Helpdesk Tickets (Knowledge, Contracts & SLAs)",,,,,,
,,,,,,
Ticket ID,Functional Area,Priority,Status,Subject / Summary,Detailed User Description (Problem),L1 Step-by-Step Resolution (How-To)
TSE-001,Knowledge Management,Medium,New,How to attach a verified Knowledge Article to an open Case and email it as a PDF,"I am working on an intricate technical issue. I found an internal Knowledge Article that perfectly explains the resolution steps. How do I attach this article directly to the active Case record layout so it is tracked in our resolution metrics, and how can I send its text content straight to the customer's email box via the console?",To link and share knowledge within the Service Console: 1. Locate the Knowledge Component sidebar on the right side of your Case layout screen. 2. Search for and open the relevant article. 3. Click the dropdown arrow next to the article title and select 'Insert Article into Email' or 'Attach Article'. 4. Attaching binds it to the Case's Articles related list. Inserting into email auto-copies the text content directly into your active Case Email Publisher window. Click send to share with the customer.
TSE-002,Contracts & Entitlements,High,In Progress,Case Milestone timer not appearing despite valid customer support Contract,"I just opened a high-priority incident for an enterprise account. They have an active service Contract, but the standard SLA Milestone Countdown Timer widget is completely missing from the console sidebar. This means our response time tracking is broken. How do I apply their contractual entitlement terms to this case record?","Milestone timers are driven by the 'Entitlement' field on the Case layout. Even if an Account has a Contract, individual cases must explicitly link to an Entitlement record. 1. On the Case Detail page, locate the empty 'Entitlement Name' lookup field. 2. Click the search lens; it will filter and show active entitlements linked to that Account or Contract. 3. Select the appropriate SLA tier entitlement (e.g., 'Gold 24/7 Support'). 4. Click Save. The Milestone component will instantly appear and initiate the countdown based on the SLA terms."
TSE-003,Knowledge Management,Low,Assigned,"Knowledge Article translation draft stuck in draft queue, cannot publish","I authored a technical troubleshooting manual in English and submitted it for translation into Spanish. Our regional team completed the Spanish translation draft, but when I try to hit 'Publish' on the Spanish version, the button is greyed out. My profile has knowledge manager rights. How do I release this version?","Salesforce Knowledge isolates publishing rights per language channel and article status. 1. Check if the translated version is currently assigned to an explicit Translation Queue or validation step. 2. You must first navigate to the 'Knowledge Articles' tab and switch your list view to 'Draft Translations'. 3. Select the Spanish draft, click 'Submit for Publication' or 'Submit for Review' to pass it past the translation workflow block. If you aren't a designated member of the Spanish translation group, a user within that specific language queue must authorize the publication."
TSE-004,Service Console,Medium,New,Omni-Channel capacity issue: Agent not receiving new incoming support chats,"I am logged into the Service Console and my Omni-Channel status widget is set to 'Available - Chat/Email'. There are currently 12 customers waiting in the routing queue, but no work items are pushing to my screen. My current active case load is clear. How do I fix my configuration to start accepting chats?","This is typically caused by 'ghost capacity exhaustion' where closed items are still occupying your active agent allocation limit. 1. Look inside your Omni-Channel component at the bottom of the console screen. 2. Click on the 'My Work' tab. 3. Check if there are old, unresolved tabs or chat sessions still listed as open. 4. Click the 'X' icon next to each completed work item inside the Omni widget to officially release your capacity allocation. Once your capacity falls below 100%, Omni-Channel will immediately push new cases to you."
TSE-005,Contracts & Entitlements,Medium,In Progress,How to link a service Contract line item to a newly deployed asset tracking record,"We just shipped a specialized server to a client, and I created an 'Asset' record for it under their Account. They purchased a 3-year extended hardware warranty contract (CTR-0029) for this item. How do I link this specific physical Asset to their Service Contract line items so that support agents can check warranty coverage?","To link an Asset to a Service Contract via Contract Line Items: 1. Open the target Service Contract record. 2. Locate the 'Contract Line Items' related list and click 'New' or 'Add Products'. 3. Select the warranty line package product. 4. In the creation wizard screen, locate the 'Asset' lookup field. 5. Search for and select the specific server asset serial number record you generated. 6. Input price and term details, then save. This establishes deep mapping so agents viewing the Asset can see it is covered by that active contract."
TSE-006,Email-to-Case,High,New,Customer outbound emails bouncing with '554: Delivery error: Threading ID invalid',"A customer is trying to reply to an email sent out from Case #00331245, but their messages are bouncing back to them with a mail delivery error pointing to a malformed threading token or headers. How do I recover the original thread link so we don't lose track of their communication?","This occurs if email headers or the modern Salesforce Email Threading Token (which replaced old Ref IDs) get mangled by the customer's secure corporate email gateway filtering. 1. Instruct the customer to compose a clean, fresh email to your inbound support address (e.g., support@company.com). 2. Have them paste the Case Number '#00331245' cleanly in the Subject line. 3. When it reaches Salesforce, Email-to-Case logic will scan the text. If it generates a new case, an L1 agent can use the standard 'Merge Cases' action to fuse the new incoming record back into the original master case timeline."
TSE-007,Case Management,Low,Resolved,How to set up a recurring Parent-Child relationship structure for sub-task tracking,"I have an incoming system implementation case that requires actions from our IT department, Finance group, and Shipping warehouse. I want to keep the main case open as an umbrella record and create three separate tracking sub-tasks under it for those teams. What are the operational steps to establish this link?",To create a structured sub-task framework using Parent-Child relationships: 1. Open the primary master Case record. 2. Navigate to the 'Child Cases' related list and click 'New'. 3. Fill out the specific parameters for the IT department sub-task. Note that the 'Parent Case' lookup field will auto-populate with the original case number. 4. Click 'Save & New' to repeat for Finance and Shipping. This builds a hierarchical tree layout allowing the primary owner to monitor individual sub-group progress.
TSE-008,Knowledge Management,Medium,New,Knowledge Search results showing outdated archived article versions to console agents,"When agents type 'VPN Setup' into the global console search box, the search results page prominently returns an article written in 2021 that was supposedly archived months ago. The new, active article is buried deep down the list. How can I remove this old asset from appearing in internal searches?","Archived articles should not appear in active search layouts unless search filtering is misconfigured. 1. Go to the Knowledge Articles tab. 2. Filter by 'Archived Articles' and locate the 2021 manual. 3. Check its configuration settings. Ensure that the checkbox field 'IsVisibleInApp' (Visible to Internal App Users) or 'Visible in Knowledge Base' is completely unchecked for this archived version. 4. If it remains indexed, request an L2 admin to run a Knowledge Search Index rebuild or modify the Article Search Layout parameters to exclude archived statuses entirely."
TSE-009,Contracts & Entitlements,High,Assigned,Entitlement process milestone error: 'Case field update failed due to locked status',"I am trying to resolve a case before the 1-hour critical response milestone expires. I added a case comment and changed the status to 'Waiting on Customer'. When I hit save, I get an error: 'Validation error on Case: Cannot modify case status because the underlying Entitlement Milestone is locked by an open system transaction.' How do I override this?","This happens when an automated milestone trigger rule is firing concurrently to mark a milestone as 'Compliant' or 'Violated' right as you are manually altering the case. 1. Refresh your browser window to clear the transaction cache. 2. Check the Milestone tracker component to see if the milestone status has already changed asynchronously. 3. If the record remains locked, edit the 'Status' field again without modifying other custom fields simultaneously. This allows the background entitlement script to execute its updates independently without field validation collisions."
TSE-0010,Case Escalation,Medium,Resolved,How to manually trigger an override on an automated Case Escalation Rule rule path,"We have an automated rule that escalates any case left open for more than 4 hours straight to Level 2. I have a specialized client case that I am actively working on with an external vendor, and I want to stop it from escalating away from my queue automatically. How do I pause the escalation rule timer?","Automated Escalation Rules check specific criteria to calculate execution. To manually override or pause an impending escalation: 1. Open the Case detail page. 2. Look for a custom field checkbox typically named 'Exempt from Escalation', 'Do Not Escalate', or a similar marker configured by your admin. 3. Alternatively, modify the Case 'Priority' down or change the Case 'Status' to an excluded status path like 'On Hold' or 'Under Vendor Review'. Escalation rules evaluate criteria dynamically; altering these monitored fields pushes the case out of the automation queue criteria."
TSE-0011,Service Console,Low,New,Console split view panel keeps disappearing on page refresh,"Every time I open my Service Console tab layout and click on a case list view, I prefer using the 'Split View' format. However, whenever I refresh my Chrome browser tab or log out and log back in, the console defaults back to 'Table View' and I have to manually click to toggle Split View back on. How do I pin this layout permanently?","Salesforce Console applications remember your navigation preferences via browser session cookies and pinned layouts. 1. In the Service Console, look at the narrow left side of the navigation bar where the list view is shown. 2. Toggle it to 'Split View'. 3. Notice the small pin icon or the drop-down arrow next to the object name (e.g., Cases). Select 'Pin This List'. 4. Ensure your local browser settings are not configured to automatically clear cookies/local cache storage upon refresh, as Salesforce relies on local storage parameters to retain console workspace states."
